CGMP;Nome;Longitude;Latitude
6172;Posto Shell Farol;-46.394889831543;-23.4230098724365
6173;Posto Shell Futuro;-47.0793342590332;-22.835470199585
6174;Posto Shell Vo Joao;-47.0812721252441;-22.8186302185059
6175;Posto Shell Presidente Juscelino;-47.1019897460938;-22.9302883148193
6180;Posto Shell Companheiro;-47.2307510375977;-22.8908367156982
6181;Posto Shell Portal Mogi;-46.1856880187988;-23.5345230102539
6183;Posto Shell Cidade Jardim Americana;-47.3396911621094;-22.7611904144287
6184;Posto Shell Fenix Nova Odessa;-47.2964286804199;-22.7902965545654
6185;Posto Shell Duque Berrini;-46.6938667297363;-23.6075458526611
6186;Posto Shell Rebouças;-47.2779312133789;-22.8144798278809
6187;Posto Shell Mara Miru;-46.6652526855469;-23.6118125915527
6189;Posto Shell Zonta;-46.6780700683594;-23.665283203125
6190;Posto Shell Lavapes;-46.6294708251953;-23.559907913208
6191;Posto Shell Montana;-46.6347198486328;-23.5867481231689
6193;Posto Shell Jardim colonial;-47.2310562133789;-23.1091136932373
6195;Posto Shell Saci;-47.0341873168945;-22.9968757629395
6196;Posto Shell SPW;-46.906623840332;-23.6028671264648
6198;Posto Shell Maranelo 2;-46.6369285583496;-23.5030746459961
6199;Posto Shell Jardim do Trevo;-47.0699195861816;-22.9291725158691
6200;Posto Shell Luiz Venditti;-47.053108215332;-22.9200096130371
6201;Posto Shell Tejo;-46.5896911621094;-23.5649356842041
6203;Posto Shell Casa Grande;-46.6585960388184;-23.614330291748
6204;Posto Shell Mingo;-46.709644317627;-23.5542221069336
6208;Posto Shell Joruhi;-46.6697196960449;-23.5954360961914
6209;Posto Shell Andorinhas;-47.0449333190918;-22.8872718811035
6210;Posto Shell Progresso Mogi;-46.9529800415039;-22.4327239990234
6211;Posto Shell Barbieri de Barao Geraldo;-47.0788269042969;-22.8299865722656
6213;Posto Shell Luiz Fantinato Filho;-47.0034141540527;-22.9629383087158
6214;Posto Shell 3M;-46.3183479309082;-23.4009323120117
6215;Posto Shell Vila Pagano;-47.0053901672363;-22.9920501708984
6216;Posto Shell Av Nossa Sra de Fatima;-47.0434875488281;-22.8772411346436
6217;Posto Shell Savemo;-46.6856384277344;-23.6110725402832
6218;Posto Shell Gaivota;-46.6707611083984;-23.6072940826416
6219;Posto Shell Diesel Mac;-46.5650291442871;-23.4896507263184
6220;Posto Shell Aiwa;-46.5765953063965;-23.5015335083008
6222;Posto Shell Mestre;-46.5686874389648;-23.4580211639404
6223;Posto Shell Novo Ouro Negro;-46.4665565490723;-23.6655769348145
6224;Posto Shell Grand Prix;-46.6987152099609;-23.6930599212646
6226;Posto Shell G5;-46.455451965332;-23.4171695709229
6227;Posto Shell Campineira;-47.0797119140625;-22.8253402709961
6230;Posto Shell Amigao;-47.3576316833496;-22.73583984375
6233;Posto Shell Força Maxima;-46.5366835;-23.5965702
6234;Posto Shell Tropical Gas;-46.6215171813965;-23.5524921417236
6235;Posto Shell Guarnel;-46.7047386169434;-23.5277671813965
6237;Posto Shell City Cantareira;-46.6161003112793;-23.4580402374268
6238;Posto Shell Formula Shell;-46.6778793334961;-23.667652130127
6239;Posto Shell Jordanopolis;-46.5727806091309;-23.6835632324219
6240;Posto Shell Lubricar;-46.5397109985352;-23.6724262237549
6241;Posto Shell Sol;-46.5340309143066;-23.6523780822754
6242;Posto Shell Portal do Paraiso;-46.7273979187012;-23.610523223877
6244;Posto Shell EG;-46.742561340332;-23.6439895629883
6245;Posto Shell Campo limpo;-46.7647285461426;-23.6248760223389
6246;Posto Shell Veneza;-46.7451286315918;-23.5571708679199
6249;Posto Shell Albano;-46.5824966430664;-23.5685997009277
6250;Posto Shell Riolis;-46.6480407714844;-23.6699542999268
6252;Posto Shell Nova Campinas;-47.0462188720703;-22.9024677276611
6253;Posto Shell BE;-46.690990447998;-23.6208000183105
6254;Posto Shell Padocka;-46.535587310791;-23.6270618438721
6255;Posto Shell Vila Galvao;-46.5664672851563;-23.4548721313477
6256;Posto Shell CRS;-46.8834953308105;-23.4886283874512
6257;Posto Shell Santo Eduardo;-46.8034286499023;-23.6726322174072
6261;Posto Shell Carlu;-46.7173805236816;-23.6569805145264
6262;Posto Shell Moni;-46.5833511352539;-23.4642601013184
6264;Posto Shell Arinella Brooklin;-46.6869316101074;-23.6297931671143
6266;Posto Shell Cardeal;-46.6738090515137;-23.5529613494873
6268;Posto Shell Gondola;-46.6585502624512;-23.6350193023682
6269;Posto Shell Mister Plus;-46.6753387451172;-23.6052417755127
6270;Posto Shell Rocar;-46.6869316101074;-23.5773849487305
6272;Posto Shell Duque e Cia;-46.6580848693848;-23.5465564727783
6273;Posto Shell Helio Valdivia;-47.0583152770996;-22.9003200531006
6274;Posto Shell Silvia Maria Pinto Santos Abastece;-46.6181907653809;-23.5856876373291
6277;Posto Shell Madia;-47.0025672912598;-22.9679279327393
6280;Posto Shell Castelinho;-47.0737571716309;-22.8959350585938
6281;Posto Shell Bate Bola;-46.8917007446289;-23.1869983673096
6282;Posto Shell Parque da Uva;-46.8978500366211;-23.1905879974365
6283;Posto Shell Progresso;-46.864315032959;-23.2119064331055
6284;Posto Shell Keeper;-46.8477630615234;-23.2091121673584
6285;Posto Shell Cidade Do Vinho;-46.8849449157715;-23.2070026397705
6286;Posto Shell Soledade Gaucha;-47.466121673584;-23.4964237213135
6288;Posto Shell Pimenta;-47.2254447937012;-23.1230888366699
6289;Posto Shell Turismo 2;-46.6004981994629;-23.6802082061768
6290;Posto Shell Argetax Guarulhos;-46.5511817932129;-23.4856719970703
6291;Posto Shell Andrea Santini Rego;-47.0610198974609;-22.8933715820313
6292;Posto Shell Portal de Americana;-47.2959747314453;-22.7291870117188
6293;Posto Shell Caxambu;-46.846248626709;-23.1494789123535
6294;Posto Shell Telles;-46.8851737976074;-23.1734237670898
6295;Posto Shell Jardim Santa Monica;-47.1106567382813;-22.8553581237793
6296;Posto Shell Dom Pedro I;-46.9716911315918;-22.9091968536377
6297;Posto Shell Grande São Paulo;-46.64404296875;-23.5697975158691
