6357;Posto Shell Rede Senna;OK;02/03/17;OK;;02/03/17;02/03/17;;;;
6630;Posto Shell Santa Luzia Atibaia;OK;OK;OK;;OK;03/03/17;;;;
6042;Posto Shell Jardim Sao Paulo;OK;OK;OK;06/03/17;06/03/17;06/03/17;OK;;;
6082;Posto Shell Sao Joaquim;08/03/17;08/03/17;08/03/17;;08/03/17;08/03/17;;;;
6172;Posto Shell Farol;OK;09/03/17;09/03/17;;09/03/17;09/03/17;OK;;;
6655;Posto Shell Sol da Dutra;OK;OK;OK;;13/03/17;13/03/17;;;;
6045;Posto Shell Lutaif;15/03/17;OK;14/03/17;OK;OK;OK;;;14/03/17;
6063;Posto Shell Macedo;20/03/17;OK;20/03/17;;20/03/17;20/03/17;;;;
6087;Posto Shell Tapera Grande;22/03/17;22/03/17;22/03/17;;22/03/17;22/03/17;;;;
6219;Posto Shell Diesel Mac;24/03/17;23/03/17;23/03/17;;24/03/17;24/03/17;;;23/03/17;
6140;Posto Shell O Chefao;27/03/17;OK;OK;;27/03/17;27/03/17;;;;
6502;Posto Shell Europa Empreendimentos;29/03/17;OK;29/03/17;;29/03/17;29/03/17;;;;
6222;Posto Shell Mestre;30/03/17;30/03/17;30/03/17;;30/03/17;30/03/17;;;;
6290;Posto Shell Argetax Guarulhos;03/04/17;03/04/17;03/04/17;;03/04/17;03/04/17;;;;
6410;Posto Shell Carrossel;05/04/17;05/04/17;05/04/17;;05/04/17;05/04/17;;;;
6139;Posto Shell Joia de Guarulhos;OK;OK;OK;;OK;OK;;;;
6419;Posto Shell Petrodutra;10/04/17;10/04/17;10/04/17;;10/04/17;10/04/17;;;;
6486;Posto Shell Portal de Santana;12/04/17;12/04/17;12/04/17;;12/04/17;12/04/17;;;;
6408;Posto Shell Avenida de Itatiba;17/04/17;17/04/17;17/04/17;;17/04/17;17/04/17;;;;
6119;Posto Shell Mairipora;19/04/17;19/04/17;19/04/17;;19/04/17;19/04/17;;;;
6365;Posto Shell Varsovia;26/04/17;26/04/17;26/04/17;;26/04/17;26/04/17;;;;
6332;Posto Shell Ipe;27/04/17;OK;27/04/17;;27/04/17;27/04/17;;;;
6383;Posto Shell Bandeirante;03/05/17;03/05/17;03/05/17;;03/05/17;03/05/17;;;;
6426;Posto Shell Cassiano Ricardo;04/05/17;04/05/17;04/05/17;;04/05/17;04/05/17;;;;
6514;Posto Shell Quatro Trevo;08/05/17;08/05/17;08/05/17;;08/05/17;08/05/17;;;;
6046;Posto Shell Bellagio;10/05/17;10/05/17;10/05/17;;10/05/17;10/05/17;;;;
6220;Posto Shell Aiwa;11/05/17;OK;11/05/17;;11/05/17;11/05/17;;;;
6237;Posto Shell City Cantareira;15/05/17;15/05/17;15/05/17;;15/05/17;15/05/17;;;;
6358;Posto Shell Lince Taubate;17/05/17;17/05/17;17/05/17;;17/05/17;17/05/17;;;;
6364;Posto Shell Alpes;18/05/17;18/05/17;18/05/17;;18/05/17;18/05/17;;;;
6347;Posto Shell Caragua;22/05/17;OK;22/05/17;;22/05/17;22/05/17;;;;
6255;Posto Shell Vila Galvao;24/05/17;24/05/17;24/05/17;;24/05/17;24/05/17;;;;
6629;Posto Shell Bolla Branca;25/05/17;25/05/17;25/05/17;;25/05/17;25/05/17;;;;
6262;Posto Shell Moni;29/05/17;29/05/17;29/05/17;;29/05/17;29/05/17;;;;
6367;Posto Shell Maricar;31/05/17;31/05/17;31/05/17;;31/05/17;31/05/17;31/05/17;;;
6379;Posto Shell Sabella;01/06/17;OK;01/06/17;;01/06/17;01/06/17;;;;
6487;Posto Shell Tasquinha;05/06/17;05/06/17;05/06/17;;05/06/17;05/06/17;;;;
6395;Posto Shell Scofano e Scofano;07/06/17;07/06/17;07/06/17;;07/06/17;07/06/17;;;;
6516;Posto Shell Campos do Jordao;08/06/17;08/06/17;OK;;08/06/17;08/06/17;;;;
6226;Posto Shell G5;12/06/17;12/06/17;12/06/17;;12/06/17;12/06/17;;;;
6605;Posto Shell Morro Azul de Itatiba;19/06/17;OK;OK;;19/06/17;19/06/17;;;;
6634;Posto Shell Santana Sao Jose dos Campos;21/06/17;21/06/17;21/06/17;;21/06/17;21/06/17;;;;
6084;Posto Shell 555;22/06/17;22/06/17;22/06/17;;22/06/17;22/06/17;;;;
6349;Posto Shell Pontal da Cruz;26/06/17;26/06/17;26/06/17;;26/06/17;26/06/17;;;;
6425;Posto Shell Perola de Ubatuba;28/06/17;28/06/17;OK;;28/06/17;28/06/17;OK;;;
6030;Posto Shell Gigante da Imigrantes;OK;OK;OK;OK;OK;OK;OK;;;
6044;Posto Shell Galena;OK;OK;OK;OK;OK;OK;OK;;;
6048;Posto Shell Summer;OK;OK;OK;OK;OK;OK;OK;;;
6203;Posto Shell Casa Grande;OK;OK;OK;OK;OK;OK;OK;;;
6007;Posto Shell Abraao de Morais;OK;OK;OK;;OK;OK;OK;;;
6154;Posto Shell Carlos E L Braga;OK;OK;OK;;29/05/17;29/05/17;OK;;;
6269;Posto Shell Mister Plus;OK;01/03/17;OK;;OK;01/03/17;;;;
6034;Posto Shell Prime;02/03/17;OK;OK;OK;02/03/17;OK;OK;;;
6625;Posto Shell Bola Pesada;07/03/17;07/03/17;OK;OK;OK;OK;OK;;;
6010;Posto Shell Napoleão Barros;22/02/17;22/02/17;22/02/17;;22/02/17;22/02/17;22/02/17;;;
6134;Posto Shell Panamby;OK;23/02/17;OK;;23/02/17;23/02/17;OK;;;
6142;Posto Shell Morumbi Star;24/02/17;OK;24/02/17;OK;OK;OK;;;;
6654;Posto Shell Eco Posto;OK;OK;OK;;OK;02/03/17;;;;
6062;Posto Shell Astúrias;OK;OK;OK;OK;OK;OK;OK;;;
6033;Posto Shell Elmar;06/03/17;OK;OK;OK;OK;OK;OK;;;
6137;Posto Shell Toninho trinta;08/03/17;OK;08/03/17;08/03/17;OK;08/03/17;;;;
